Parameters (Description)
^vzt006^              In Temp Yesterday Hi Time
^vzs006^              In Temp Yesterday Lo Time
^vhv006^              In Temp 24hours ago
^vdv006^              In Temp 24hour difference
^uni006^              In Temp Units
^vxv007^              Out Temp
^vhi007^              Out Temp Daily Hi
^vht007^              Out Temp Daily Hi Time
^vlo007^              Out Temp Daily Lo
^vlt007^              Out Temp Daily Lo Time
^vva007^              Out Temp Running Average
^vda007^              Out Temp Daily Avg
^vma007^              Out Temp Month Avg
^vya007^              Out Temp Year Avg
^vvr007^              Out Temp Rate
^vrh007^              Out Temp Rate Hi
^vrt007^              Out Temp Rate Hi Time
^vrl007^              Out Temp Rate Lo
^vrs007^              Out Temp Rate Lo Time
^vmh007^              Out Temp Monthly Hi
^vmd007^              Out Temp Monthly Hi Date
^vml007^              Out Temp Monthly Lo
^vme007^              Out Temp Monthly Lo Date
^vyh007^              Out Temp Yearly Hi
^vyd007^              Out Temp Yearly Hi Date
^vyl007^              Out Temp Yearly Lo
^vye007^              Out Temp Yearly Lo Date
^vzh007^              Out Temp Yesterday Hi
^vzt007^              Out Temp Yesterday Hi Time
^vzs007^              Out Temp Yesterday Lo Time
^vhv007^              Out Temp 24hours ago
^vdv007^              Out Temp 24hour difference
^uni007^              Out Temp Units
^vxv008^              Raw Barometer
^vhi008^              Raw Barometer Daily Hi
^vht008^              Raw Barometer Daily Hi Time
^vlo008^              Raw Barometer Daily Lo
^vlt008^              Raw Barometer Daily Lo Time
^vva008^              Raw Barometer Running Average
^vda008^              Raw Barometer Daily Avg
^vma008^              Raw Barometer Month Avg
^vya008^              Raw Barometer Year Avg
^vvr008^              Raw Barometer Rate
^vrh008^              Raw Barometer Rate Hi
^vrt008^              Raw Barometer Rate Hi Time
^vrl008^              Raw Barometer Rate Lo
^vrs008^              Raw Barometer Rate Lo Time
^vmh008^              Raw Barometer Monthly Hi
^vmd008^              Raw Barometer Monthly Hi Date
^vml008^              Raw Barometer Monthly Lo
^vme008^              Raw Barometer Monthly Lo Date
^vyh008^              Raw Barometer Yearly Hi
^vyd008^              Raw Barometer Yearly Hi Date
^vyl008^              Raw Barometer Yearly Lo
^vye008^              Raw Barometer Yearly Lo Date
^vzh008^              Raw Barometer Yesterday Hi
^vzt008^              Raw Barometer Yesterday Hi Time
^vzs008^              Raw Barometer Yesterday Lo Time
^vhv008^              Raw Barometer 24hours ago
^vdv008^              Raw Barometer 24hour difference
^uni008^              Raw Barometer Units
^vxv009^              Total Rain
^vhi009^              Total Rain Daily Hi
^vht009^              Total Rain Daily Hi Time
^vlo009^              Total Rain Daily Lo
^vlt009^              Total Rain Daily Lo Time
^vva009^              Total Rain Running Average
^vda009^              Total Rain Daily Avg
^vma009^              Total Rain Month Avg
^vya009^              Total Rain Year Avg
^vvr009^              Total Rain Rate
^vrh009^              Total Rain Rate Hi
^vrt009^              Total Rain Rate Hi Time
^vrl009^              Total Rain Rate Lo
^vrs009^              Total Rain Rate Lo Time
^vmh009^              Total Rain Monthly Hi
^vmd009^              Total Rain Monthly Hi Date
^vml009^              Total Rain Monthly Lo
^vme009^              Total Rain Monthly Lo Date
^vyh009^              Total Rain Yearly Hi
^vyd009^              Total Rain Yearly Hi Date
^vyl009^              Total Rain Yearly Lo
^vye009^              Total Rain Yearly Lo Date
^vzh009^              Total Rain Yesterday Hi
^vzt009^              Total Rain Yesterday Hi Time
^vzs009^              Total Rain Yesterday Lo Time
^vhv009^              Total Rain 24hours ago
^vdv009^              Total Rain 24hour difference
^uni009^              Total Rain Units
^vxv010^              Ch 1 Temp
^vhi010^              Ch 1 Temp Daily Hi
^vht010^              Ch 1 Temp Daily Hi Time
^vlo010^              Ch 1 Temp Daily Lo
^vlt010^              Ch 1 Temp Daily Lo Time
^vva010^              Ch 1 Temp Running Average
^vda010^              Ch 1 Temp Daily Avg
^vma010^              Ch 1 Temp Month Avg
^vya010^              Ch 1 Temp Year Avg
^vvr010^              Ch 1 Temp Rate
^vrh010^              Ch 1 Temp Rate Hi
^vrt010^              Ch 1 Temp Rate Hi Time
^vrl010^              Ch 1 Temp Rate Lo
^vrs010^              Ch 1 Temp Rate Lo Time
^vmh010^              Ch 1 Temp Monthly Hi
^vmd010^              Ch 1 Temp Monthly Hi Date
^vml010^              Ch 1 Temp Monthly Lo
^vme010^              Ch 1 Temp Monthly Lo Date
^vyh010^              Ch 1 Temp Yearly Hi
^vyd010^              Ch 1 Temp Yearly Hi Date
^vyl010^              Ch 1 Temp Yearly Lo
^vye010^              Ch 1 Temp Yearly Lo Date
^vzh010^              Ch 1 Temp Yesterday Hi
