Parameters (Description)
^uni122^              Hourly Rain Units
^vxv123^              24 Hour Rain
^uni123^              24 Hour Rain Units
^vxv124^              Rain Rate
^uni124^              Rain Rate Units
^vxv125^              Wind Run
^uni125^              Wind Run Units
^vxv126^              Degrees Heating
^uni126^              Degrees Heating Units
^vxv127^              Degrees Cooling
^uni127^              Degrees Cooling Units
^vxv128^              Moon Phase
^uni128^              Moon Phase Units
^vxv129^              Monthly Rain
^uni129^              Monthly Rain Units
^vxv130^              Deg Heating Month
^uni130^              Deg Heating Month Units
^vxv131^              Deg Cooling Month
^uni131^              Deg Cooling Month Units
^vxv132^              Wind Run Month
^uni132^              Wind Run Month Units
^vxv133^              Deg Heating Year
^uni133^              Deg Heating Year Units
^vxv134^              Deg Cooling Year
^uni134^              Deg Cooling Year Units
^vxv135^              Wind Run Year
^uni135^              Wind Run Year Units
^vst136^              Heat Stress
^uni136^              Heat Stress Units
^vst137^              Comfort Level
^uni137^              Comfort Level Units
^vst138^              Forecast
^uni138^              Forecast Units
^vst139^              Barometric Trend
^uni139^              Barometric Trend Units
^vst140^              Pressure Trend
^uni140^              Pressure Trend Units
^vst141^              Beaufort Scale
^uni141^              Beaufort Scale Units
^vst142^              Date
^uni142^              Date Units
^vst143^              Time
^uni143^              Time Units
^vst144^              Sunrise
^uni144^              Sunrise Units
^vst145^              Sunset
^uni145^              Sunset Units
^vst146^              Moonrise
^uni146^              Moonrise Units
^vst147^              Moonset
^uni147^              Moonset Units
^vst148^              Windspeed Verbose
^uni148^              Windspeed Verbose Units
#^all_gauges^          All Gauges
#^all_graphs^          All Graphs
#^all_icons^           All Icons
^moon_percent^        Moon Percent
^moon_day^            Moon Day
^vervws^              Version No.
^wstation^            Weather Station
^wsdescription^       Station Description
^wslocation^          Station Location
^wstaturl^            Weather Station URL
^wslong^              Station Longitude
^wslat^               Station Latitude
^world_id^            World Location
^temp_color^          Temp Color
^temp_color_hi^       Temp Color Hi
^temp_color_lo^       Temp Color Lo
Metar Sites:
^mtr001KSJC^          METAR Identifier
^mtr002KSJC^          METAR Site
^mtr003KSJC^          UTC Update
^mtr004KSJC^          Temperature
^mtr005KSJC^          Dew Point
^mtr006KSJC^          % Relative Humidity
^mtr007KSJC^          Pressure
^mtr008KSJC^          Wind Direction
^mtr009KSJC^          Wind Speed
^mtr010KSJC^          Wind Gust
^mtr011KSJC^          Visibility
^mtr012KSJC^          Cloud Height
^mtr013KSJC^          Sky
^mtr014KSJC^          Weather
^mtr015KSJC^          Rain/hr
^mtr016KSJC^          Wind Chill
^mtr017KSJC^          Heat Index
Almanac:
^almhi1^              Record Hi Station 1
^almdatehi1^          Record Hi Date Station 1
^almlo1^              Record Lo Station 1
^almdatelo1^          Record Lo Date Station 1
^almnormlo1^          Norm Lo Station 1
^almytd1^             YTD Precip Station 1
^almmtd1^             MTD Precip Station 1
^temp_rec_hi1^        Record Hi Color Station 1
^temp_rec_lo1^        Record Lo Color Station 1
^temp_norm_hi1^       Normal Hi Color Station 1
^temp_norm_lo1^       Normal Lo Color Station 1
^climate_cconds1^     Current Conditions Station 1
^climate_icon1^       Current Icon Station 1
^climate_city1^       City Station 1
^climate_state1^      State Station 1
^almhi2^              Record Hi Station 2
^almdatehi2^          Record Hi Date Station 2
^almlo2^              Record Lo Station 2
^almdatelo2^          Record Lo Date Station 2
^almnormlo2^          Norm Lo Station 2
^almytd2^             YTD Precip Station 2
^almmtd2^             MTD Precip Station 2
^temp_rec_hi2^        Record Hi Color Station 2
^temp_rec_lo2^        Record Lo Color Station 2
^temp_norm_hi2^       Normal Hi Color Station 2
^temp_norm_lo2^       Normal Lo Color Station 2
^climate_cconds2^     Current Conditions Station 2
^climate_icon2^       Current Icon Station 2
^climate_city2^       City Station 2
^climate_state2^      State Station 2
^almhi3^              Record Hi Station 3
^almdatehi3^          Record Hi Date Station 3
^almlo3^              Record Lo Station 3
^almdatelo3^          Record Lo Date Station 3
^almnormlo3^          Norm Lo Station 3
^almytd3^             YTD Precip Station 3
^almmtd3^             MTD Precip Station 3
^temp_rec_hi3^        Record Hi Color Station 3
^temp_rec_lo3^        Record Lo Color Station 3
^temp_norm_hi3^       Normal Hi Color Station 3
^temp_norm_lo3^       Normal Lo Color Station 3
^climate_cconds3^     Current Conditions Station 3
^climate_icon3^       Current Icon Station 3
^climate_city3^       City Station 3
^climate_state3^      State Station 3
^almhi4^              Record Hi Station 4
^almdatehi4^          Record Hi Date Station 4
^almlo4^              Record Lo Station 4
^almdatelo4^          Record Lo Date Station 4
^almnormlo4^          Norm Lo Station 4
^almytd4^             YTD Precip Station 4
^almmtd4^             MTD Precip Station 4
^temp_rec_hi4^        Record Hi Color Station 4
^temp_rec_lo4^        Record Lo Color Station 4
^temp_norm_hi4^       Normal Hi Color Station 4
^temp_norm_lo4^       Normal Lo Color Station 4
^climate_cconds4^     Current Conditions Station 4
^climate_icon4^       Current Icon Station 4
^climate_city4^       City Station 4
^climate_state4^      State Station 4
^almhi5^              Record Hi Station 5
^almdatehi5^          Record Hi Date Station 5
^almlo5^              Record Lo Station 5
^almdatelo5^          Record Lo Date Station 5
^almnormlo5^          Norm Lo Station 5
^almytd5^             YTD Precip Station 5
^almmtd5^             MTD Precip Station 5
^temp_rec_hi5^        Record Hi Color Station 5
^temp_rec_lo5^        Record Lo Color Station 5
^temp_norm_hi5^       Normal Hi Color Station 5
^temp_norm_lo5^       Normal Lo Color Station 5
^climate_cconds5^     Current Conditions Station 5
^climate_icon5^       Current Icon Station 5
^climate_city5^       City Station 5
^climate_state5^      State Station 5
^almhi6^              Record Hi Station 6
^almdatehi6^          Record Hi Date Station 6
^almlo6^              Record Lo Station 6
^almdatelo6^          Record Lo Date Station 6
^almnormlo6^          Norm Lo Station 6
^almytd6^             YTD Precip Station 6
^almmtd6^             MTD Precip Station 6
^temp_rec_hi6^        Record Hi Color Station 6
^temp_rec_lo6^        Record Lo Color Station 6
^temp_norm_hi6^       Normal Hi Color Station 6
^temp_norm_lo6^       Normal Lo Color Station 6
^climate_cconds6^     Current Conditions Station 6
^climate_icon6^       Current Icon Station 6
^climate_city6^       City Station 6
^climate_state6^      State Station 6
^almhi7^              Record Hi Station 7
^almdatehi7^          Record Hi Date Station 7
^almlo7^              Record Lo Station 7
^almdatelo7^          Record Lo Date Station 7
^almnormlo7^          Norm Lo Station 7
^almytd7^             YTD Precip Station 7
^almmtd7^             MTD Precip Station 7
^temp_rec_hi7^        Record Hi Color Station 7
^temp_rec_lo7^        Record Lo Color Station 7
^temp_norm_hi7^       Normal Hi Color Station 7
^temp_norm_lo7^       Normal Lo Color Station 7
^climate_cconds7^     Current Conditions Station 7
^climate_icon7^       Current Icon Station 7
^climate_city7^       City Station 7
^climate_state7^      State Station 7
^almhi8^              Record Hi Station 8
^almdatehi8^          Record Hi Date Station 8
^almlo8^              Record Lo Station 8
^almdatelo8^          Record Lo Date Station 8
^almnormlo8^          Norm Lo Station 8
^almytd8^             YTD Precip Station 8
^almmtd8^             MTD Precip Station 8
^temp_rec_hi8^        Record Hi Color Station 8
^temp_rec_lo8^        Record Lo Color Station 8
^temp_norm_hi8^       Normal Hi Color Station 8
^temp_norm_lo8^       Normal Lo Color Station 8
^climate_cconds8^     Current Conditions Station 8
^climate_icon8^       Current Icon Station 8
^climate_city8^       City Station 8
^climate_state8^      State Station 8
^almhi9^              Record Hi Station 9
^almdatehi9^          Record Hi Date Station 9
^almlo9^              Record Lo Station 9
^almdatelo9^          Record Lo Date Station 9
^almnormlo9^          Norm Lo Station 9
^almytd9^             YTD Precip Station 9
^almmtd9^             MTD Precip Station 9
^temp_rec_hi9^        Record Hi Color Station 9
^temp_rec_lo9^        Record Lo Color Station 9
^temp_norm_hi9^       Normal Hi Color Station 9
^temp_norm_lo9^       Normal Lo Color Station 9
^climate_cconds9^     Current Conditions Station 9
^climate_icon9^       Current Icon Station 9
^climate_city9^       City Station 9
^climate_state9^      State Station 9
^almhi10^             Record Hi Station 10
^almdatehi10^         Record Hi Date Station 10
^almlo10^             Record Lo Station 10
^almdatelo10^         Record Lo Date Station 10
^almnormlo10^         Norm Lo Station 10
^almytd10^            YTD Precip Station 10
^almmtd10^            MTD Precip Station 10
^temp_rec_hi10^       Record Hi Color Station 10
^temp_rec_lo10^       Record Lo Color Station 10
^temp_norm_hi10^      Normal Hi Color Station 10
^temp_norm_lo10^      Normal Lo Color Station 10
^climate_cconds10^    Current Conditions Station 10
^climate_icon10^      Current Icon Station 10
^climate_city10^      City Station 10
^climate_state10^     State Station 10
^almhi11^             Record Hi Station 11
^almdatehi11^         Record Hi Date Station 11
^almlo11^             Record Lo Station 11
^almdatelo11^         Record Lo Date Station 11
^almnormlo11^         Norm Lo Station 11
^almytd11^            YTD Precip Station 11
^almmtd11^            MTD Precip Station 11
^temp_rec_hi11^       Record Hi Color Station 11
^temp_rec_lo11^       Record Lo Color Station 11
^temp_norm_hi11^      Normal Hi Color Station 11
^temp_norm_lo11^      Normal Lo Color Station 11
^climate_cconds11^    Current Conditions Station 11
^climate_icon11^      Current Icon Station 11
^climate_city11^      City Station 11
^climate_state11^     State Station 11
^almhi12^             Record Hi Station 12
^almdatehi12^         Record Hi Date Station 12
^almlo12^             Record Lo Station 12
^almdatelo12^         Record Lo Date Station 12
^almnormlo12^         Norm Lo Station 12
^almytd12^            YTD Precip Station 12
^almmtd12^            MTD Precip Station 12
^temp_rec_hi12^       Record Hi Color Station 12
^temp_rec_lo12^       Record Lo Color Station 12
^temp_norm_hi12^      Normal Hi Color Station 12
^temp_norm_lo12^      Normal Lo Color Station 12
^climate_cconds12^    Current Conditions Station 12
^climate_icon12^      Current Icon Station 12
^climate_city12^      City Station 12
^climate_state12^     State Station 12
^almhi13^             Record Hi Station 13
^almdatehi13^         Record Hi Date Station 13
^almlo13^             Record Lo Station 13
^almdatelo13^         Record Lo Date Station 13
^almnormlo13^         Norm Lo Station 13
^almytd13^            YTD Precip Station 13
^almmtd13^            MTD Precip Station 13
^temp_rec_hi13^       Record Hi Color Station 13
^temp_rec_lo13^       Record Lo Color Station 13
^temp_norm_hi13^      Normal Hi Color Station 13
^temp_norm_lo13^      Normal Lo Color Station 13
^climate_cconds13^    Current Conditions Station 13
^climate_icon13^      Current Icon Station 13
^climate_city13^      City Station 13
^climate_state13^     State Station 13
^almhi14^             Record Hi Station 14
^almdatehi14^         Record Hi Date Station 14
^almlo14^             Record Lo Station 14
^almdatelo14^         Record Lo Date Station 14
^almnormlo14^         Norm Lo Station 14
^almytd14^            YTD Precip Station 14
^almmtd14^            MTD Precip Station 14
^temp_rec_hi14^       Record Hi Color Station 14
^temp_rec_lo14^       Record Lo Color Station 14
^temp_norm_hi14^      Normal Hi Color Station 14
^temp_norm_lo14^      Normal Lo Color Station 14
^climate_cconds14^    Current Conditions Station 14
^climate_icon14^      Current Icon Station 14
^climate_city14^      City Station 14
^climate_state14^     State Station 14
^almhi15^             Record Hi Station 15
^almdatehi15^         Record Hi Date Station 15
^almlo15^             Record Lo Station 15
^almdatelo15^         Record Lo Date Station 15
^almnormlo15^         Norm Lo Station 15
^almytd15^            YTD Precip Station 15
^almmtd15^            MTD Precip Station 15
^temp_rec_hi15^       Record Hi Color Station 15
^temp_rec_lo15^       Record Lo Color Station 15
^temp_norm_hi15^      Normal Hi Color Station 15
^temp_norm_lo15^      Normal Lo Color Station 15
^climate_cconds15^    Current Conditions Station 15
^climate_icon15^      Current Icon Station 15
^climate_city15^      City Station 15
^climate_state15^     State Station 15
Forecast:
^forecast_nexrad1^    Nexrad Station 1
^forecast_country1^   Country Station 1
^forecast_radregion1^ Radregion Station 1
^forecast_tzname1^    Timezone Station 1
^forecast_wmo1^       WMO Station 1
^forecast_day1_1^     Station 1Forecast Day 1
^forecast_hi1_1^      Station 1  Forecast Hi Temp Day 1
^forecast_lo1_1^      Station 1  Forecast Low Temp Day 1
^forecast_conds1_1^   Station 1  Forecast Cond Day 1
^forecast_icon1_1^    Station 1  Forecast Icon Day 1
^temp_for_hi1_1^      Station 1  Temp Hi Color Day  1
^temp_for_lo1_1^      Station 1  Temp Lo Color Day  1
^forecast_day1_2^     Station 2Forecast Day 1
^forecast_hi1_2^      Station 2  Forecast Hi Temp Day 1
^forecast_lo1_2^      Station 2  Forecast Low Temp Day 1
^forecast_conds1_2^   Station 2  Forecast Cond Day 1
^forecast_icon1_2^    Station 2  Forecast Icon Day 1
^temp_for_hi1_2^      Station 2  Temp Hi Color Day  1
^temp_for_lo1_2^      Station 2  Temp Lo Color Day  1
^forecast_day1_3^     Station 3Forecast Day 1
^forecast_hi1_3^      Station 3  Forecast Hi Temp Day 1
^forecast_lo1_3^      Station 3  Forecast Low Temp Day 1
^forecast_conds1_3^   Station 3  Forecast Cond Day 1
^forecast_icon1_3^    Station 3  Forecast Icon Day 1
^temp_for_hi1_3^      Station 3  Temp Hi Color Day  1
^temp_for_lo1_3^      Station 3  Temp Lo Color Day  1
^forecast_day1_4^     Station 4Forecast Day 1
^forecast_hi1_4^      Station 4  Forecast Hi Temp Day 1
^forecast_lo1_4^      Station 4  Forecast Low Temp Day 1
^forecast_conds1_4^   Station 4  Forecast Cond Day 1
^forecast_icon1_4^    Station 4  Forecast Icon Day 1
^temp_for_hi1_4^      Station 4  Temp Hi Color Day  1
^temp_for_lo1_4^      Station 4  Temp Lo Color Day  1
^forecast_day1_5^     Station 5Forecast Day 1
^forecast_hi1_5^      Station 5  Forecast Hi Temp Day 1
^forecast_lo1_5^      Station 5  Forecast Low Temp Day 1
^forecast_conds1_5^   Station 5  Forecast Cond Day 1
^forecast_icon1_5^    Station 5  Forecast Icon Day 1
^temp_for_hi1_5^      Station 5  Temp Hi Color Day  1
^temp_for_lo1_5^      Station 5  Temp Lo Color Day  1
^forecast_nexrad2^    Nexrad Station 2
^forecast_country2^   Country Station 2
^forecast_radregion2^ Radregion Station 2
^forecast_tzname2^    Timezone Station 2
^forecast_wmo2^       WMO Station 2
^forecast_day2_1^     Station 1Forecast Day 2
^forecast_hi2_1^      Station 1  Forecast Hi Temp Day 2
^forecast_lo2_1^      Station 1  Forecast Low Temp Day 2
^forecast_conds2_1^   Station 1  Forecast Cond Day 2
^forecast_icon2_1^    Station 1  Forecast Icon Day 2
^temp_for_hi2_1^      Station 1  Temp Hi Color Day  2
^temp_for_lo2_1^      Station 1  Temp Lo Color Day  2
^forecast_day2_2^     Station 2Forecast Day 2
^forecast_hi2_2^      Station 2  Forecast Hi Temp Day 2
^forecast_lo2_2^      Station 2  Forecast Low Temp Day 2
^forecast_conds2_2^   Station 2  Forecast Cond Day 2
^forecast_icon2_2^    Station 2  Forecast Icon Day 2
^temp_for_hi2_2^      Station 2  Temp Hi Color Day  2
^temp_for_lo2_2^      Station 2  Temp Lo Color Day  2
^forecast_day2_3^     Station 3Forecast Day 2
^forecast_hi2_3^      Station 3  Forecast Hi Temp Day 2
^forecast_lo2_3^      Station 3  Forecast Low Temp Day 2
^forecast_conds2_3^   Station 3  Forecast Cond Day 2
^forecast_icon2_3^    Station 3  Forecast Icon Day 2
^temp_for_hi2_3^      Station 3  Temp Hi Color Day  2
^temp_for_lo2_3^      Station 3  Temp Lo Color Day  2
^forecast_day2_4^     Station 4Forecast Day 2
^forecast_hi2_4^      Station 4  Forecast Hi Temp Day 2
^forecast_lo2_4^      Station 4  Forecast Low Temp Day 2
^forecast_conds2_4^   Station 4  Forecast Cond Day 2
^forecast_icon2_4^    Station 4  Forecast Icon Day 2
^temp_for_hi2_4^      Station 4  Temp Hi Color Day  2
^temp_for_lo2_4^      Station 4  Temp Lo Color Day  2
^forecast_day2_5^     Station 5Forecast Day 2
^forecast_hi2_5^      Station 5  Forecast Hi Temp Day 2
^forecast_lo2_5^      Station 5  Forecast Low Temp Day 2
^forecast_conds2_5^   Station 5  Forecast Cond Day 2
^forecast_icon2_5^    Station 5  Forecast Icon Day 2
^temp_for_hi2_5^      Station 5  Temp Hi Color Day  2
^temp_for_lo2_5^      Station 5  Temp Lo Color Day  2
^forecast_nexrad3^    Nexrad Station 3
^forecast_country3^   Country Station 3
^forecast_radregion3^ Radregion Station 3
^forecast_tzname3^    Timezone Station 3
^forecast_wmo3^       WMO Station 3
^forecast_day3_1^     Station 1Forecast Day 3
^forecast_hi3_1^      Station 1  Forecast Hi Temp Day 3
^forecast_lo3_1^      Station 1  Forecast Low Temp Day 3
^forecast_conds3_1^   Station 1  Forecast Cond Day 3
^forecast_icon3_1^    Station 1  Forecast Icon Day 3
^temp_for_hi3_1^      Station 1  Temp Hi Color Day  3
^temp_for_lo3_1^      Station 1  Temp Lo Color Day  3
^forecast_day3_2^     Station 2Forecast Day 3
^forecast_hi3_2^      Station 2  Forecast Hi Temp Day 3
^forecast_lo3_2^      Station 2  Forecast Low Temp Day 3
^forecast_conds3_2^   Station 2  Forecast Cond Day 3
^forecast_icon3_2^    Station 2  Forecast Icon Day 3
^temp_for_hi3_2^      Station 2  Temp Hi Color Day  3
^temp_for_lo3_2^      Station 2  Temp Lo Color Day  3
^forecast_day3_3^     Station 3Forecast Day 3
^forecast_hi3_3^      Station 3  Forecast Hi Temp Day 3
^forecast_lo3_3^      Station 3  Forecast Low Temp Day 3
^forecast_conds3_3^   Station 3  Forecast Cond Day 3
^forecast_icon3_3^    Station 3  Forecast Icon Day 3
^temp_for_hi3_3^      Station 3  Temp Hi Color Day  3
^temp_for_lo3_3^      Station 3  Temp Lo Color Day  3
^forecast_day3_4^     Station 4Forecast Day 3
^forecast_hi3_4^      Station 4  Forecast Hi Temp Day 3
^forecast_lo3_4^      Station 4  Forecast Low Temp Day 3
^forecast_conds3_4^   Station 4  Forecast Cond Day 3
^forecast_icon3_4^    Station 4  Forecast Icon Day 3
^temp_for_hi3_4^      Station 4  Temp Hi Color Day  3
^temp_for_lo3_4^      Station 4  Temp Lo Color Day  3
^forecast_day3_5^     Station 5Forecast Day 3
^forecast_hi3_5^      Station 5  Forecast Hi Temp Day 3
^forecast_lo3_5^      Station 5  Forecast Low Temp Day 3
^forecast_conds3_5^   Station 5  Forecast Cond Day 3
^forecast_icon3_5^    Station 5  Forecast Icon Day 3
^temp_for_hi3_5^      Station 5  Temp Hi Color Day  3
^temp_for_lo3_5^      Station 5  Temp Lo Color Day  3
Warnings:
^warning_desc1^       Warning Description Location 1
^warning_time1^       Warning Description Time 1
^warning_desc2^       Warning Description Location 2
^warning_time2^       Warning Description Time 2
^warning_desc3^       Warning Description Location 3
^warning_time3^       Warning Description Time 3
^warning_desc4^       Warning Description Location 4
^warning_time4^       Warning Description Time 4
^warning_desc5^       Warning Description Location 5
^warning_time5^       Warning Description Time 5
^warning_desc6^       Warning Description Location 6
^warning_time6^       Warning Description Time 6
^warning_desc7^       Warning Description Location 7
^warning_time7^       Warning Description Time 7
^warning_desc8^       Warning Description Location 8
^warning_time8^       Warning Description Time 8
^warning_desc9^       Warning Description Location 9
^warning_time9^       Warning Description Time 9
^warning_desc10^      Warning Description Location 10
^warning_time10^      Warning Description Time 10
^warning_desc11^      Warning Description Location 11
^warning_time11^      Warning Description Time 11
^warning_desc12^      Warning Description Location 12
^warning_time12^      Warning Description Time 12
^warning_desc13^      Warning Description Location 13
^warning_time13^      Warning Description Time 13
^warning_desc14^      Warning Description Location 14
^warning_time14^      Warning Description Time 14
^warning_desc15^      Warning Description Location 15
^warning_time15^      Warning Description Time 15
Mesonet:
^meso_stat1^          MesoNet Station 1
^meso_loc1^           MesoNet Location 1
^meso_neigh1^         MesoNet Neighborhood 1
^meso_url1^           MesoNet URL 1
^meso_URLtext1^       MesoNet URL Text 1
^meso_historyURL1^    MesoNet History URL 1
^meso_lon1^           MesoNet Lon 1
^meso_lat1^           MesoNet Lat 1
^meso_time1^          MesoNet Time 1
^meso_temp1^          MesoNet Temp 1
^meso_dew1^           MesoNet DewPt 1
^meso_rh1^            MesoNet Hum 1
^meso_dir1^           MesoNet WindDir 1
^meso_wspeed1^        MesoNet WindSpd 1
^meso_gust1^          MesoNet Gust 1
^meso_barom1^         MesoNet Barom 1
^meso_rrate1^         MesoNet RainRate 1
^meso_stat2^          MesoNet Station 2
^meso_loc2^           MesoNet Location 2
^meso_neigh2^         MesoNet Neighborhood 2
^meso_url2^           MesoNet URL 2
^meso_URLtext2^       MesoNet URL Text 2
^meso_historyURL2^    MesoNet History URL 2
^meso_lon2^           MesoNet Lon 2
^meso_lat2^           MesoNet Lat 2
^meso_time2^          MesoNet Time 2
^meso_temp2^          MesoNet Temp 2
^meso_dew2^           MesoNet DewPt 2
^meso_rh2^            MesoNet Hum 2
^meso_dir2^           MesoNet WindDir 2
^meso_wspeed2^        MesoNet WindSpd 2
^meso_gust2^          MesoNet Gust 2
^meso_barom2^         MesoNet Barom 2
^meso_rrate2^         MesoNet RainRate 2
^meso_stat3^          MesoNet Station 3
^meso_loc3^           MesoNet Location 3
^meso_neigh3^         MesoNet Neighborhood 3
^meso_url3^           MesoNet URL 3
^meso_URLtext3^       MesoNet URL Text 3
^meso_historyURL3^    MesoNet History URL 3
^meso_lon3^           MesoNet Lon 3
^meso_lat3^           MesoNet Lat 3
^meso_time3^          MesoNet Time 3
^meso_temp3^          MesoNet Temp 3
^meso_dew3^           MesoNet DewPt 3
^meso_rh3^            MesoNet Hum 3
^meso_dir3^           MesoNet WindDir 3
^meso_wspeed3^        MesoNet WindSpd 3
^meso_gust3^          MesoNet Gust 3
^meso_barom3^         MesoNet Barom 3
^meso_rrate3^         MesoNet RainRate 3
^meso_stat4^          MesoNet Station 4
^meso_loc4^           MesoNet Location 4
^meso_neigh4^         MesoNet Neighborhood 4
^meso_url4^           MesoNet URL 4
^meso_URLtext4^       MesoNet URL Text 4
^meso_historyURL4^    MesoNet History URL 4
^meso_lon4^           MesoNet Lon 4
^meso_lat4^           MesoNet Lat 4
^meso_time4^          MesoNet Time 4
^meso_temp4^          MesoNet Temp 4
^meso_dew4^           MesoNet DewPt 4
^meso_rh4^            MesoNet Hum 4
^meso_dir4^           MesoNet WindDir 4
^meso_wspeed4^        MesoNet WindSpd 4
^meso_gust4^          MesoNet Gust 4
^meso_barom4^         MesoNet Barom 4
^meso_rrate4^         MesoNet RainRate 4
^meso_stat5^          MesoNet Station 5
^meso_loc5^           MesoNet Location 5
^meso_neigh5^         MesoNet Neighborhood 5
^meso_url5^           MesoNet URL 5
^meso_URLtext5^       MesoNet URL Text 5
^meso_historyURL5^    MesoNet History URL 5
^meso_lon5^           MesoNet Lon 5
^meso_lat5^           MesoNet Lat 5
^meso_time5^          MesoNet Time 5
^meso_temp5^          MesoNet Temp 5
^meso_dew5^           MesoNet DewPt 5
^meso_rh5^            MesoNet Hum 5
^meso_dir5^           MesoNet WindDir 5
^meso_wspeed5^        MesoNet WindSpd 5
^meso_gust5^          MesoNet Gust 5
^meso_barom5^         MesoNet Barom 5
^meso_rrate5^         MesoNet RainRate 5
^meso_stat6^          MesoNet Station 6
^meso_loc6^           MesoNet Location 6
^meso_neigh6^         MesoNet Neighborhood 6
^meso_url6^           MesoNet URL 6
^meso_URLtext6^       MesoNet URL Text 6
^meso_historyURL6^    MesoNet History URL 6
^meso_lon6^           MesoNet Lon 6
^meso_lat6^           MesoNet Lat 6
^meso_time6^          MesoNet Time 6
^meso_temp6^          MesoNet Temp 6
^meso_dew6^           MesoNet DewPt 6
^meso_rh6^            MesoNet Hum 6
^meso_dir6^           MesoNet WindDir 6
^meso_wspeed6^        MesoNet WindSpd 6
^meso_gust6^          MesoNet Gust 6
^meso_barom6^         MesoNet Barom 6
^meso_rrate6^         MesoNet RainRate 6
^meso_stat7^          MesoNet Station 7
^meso_loc7^           MesoNet Location 7
^meso_neigh7^         MesoNet Neighborhood 7
^meso_url7^           MesoNet URL 7
^meso_URLtext7^       MesoNet URL Text 7
^meso_historyURL7^    MesoNet History URL 7
^meso_lon7^           MesoNet Lon 7
^meso_lat7^           MesoNet Lat 7
^meso_time7^          MesoNet Time 7
^meso_temp7^          MesoNet Temp 7
^meso_dew7^           MesoNet DewPt 7
^meso_rh7^            MesoNet Hum 7
^meso_dir7^           MesoNet WindDir 7
^meso_wspeed7^        MesoNet WindSpd 7
^meso_gust7^          MesoNet Gust 7
^meso_barom7^         MesoNet Barom 7
^meso_rrate7^         MesoNet RainRate 7
^meso_stat8^          MesoNet Station 8
^meso_loc8^           MesoNet Location 8
^meso_neigh8^         MesoNet Neighborhood 8
^meso_url8^           MesoNet URL 8
^meso_URLtext8^       MesoNet URL Text 8
^meso_historyURL8^    MesoNet History URL 8
^meso_lon8^           MesoNet Lon 8
^meso_lat8^           MesoNet Lat 8
^meso_time8^          MesoNet Time 8
^meso_temp8^          MesoNet Temp 8
^meso_dew8^           MesoNet DewPt 8
^meso_rh8^            MesoNet Hum 8
^meso_dir8^           MesoNet WindDir 8
^meso_wspeed8^        MesoNet WindSpd 8
^meso_gust8^          MesoNet Gust 8
^meso_barom8^         MesoNet Barom 8
^meso_rrate8^         MesoNet RainRate 8
^meso_stat9^          MesoNet Station 9
^meso_loc9^           MesoNet Location 9
^meso_neigh9^         MesoNet Neighborhood 9
^meso_url9^           MesoNet URL 9
^meso_URLtext9^       MesoNet URL Text 9
^meso_historyURL9^    MesoNet History URL 9
^meso_lon9^           MesoNet Lon 9
^meso_lat9^           MesoNet Lat 9
^meso_time9^          MesoNet Time 9
^meso_temp9^          MesoNet Temp 9
^meso_dew9^           MesoNet DewPt 9
^meso_rh9^            MesoNet Hum 9
^meso_dir9^           MesoNet WindDir 9
^meso_wspeed9^        MesoNet WindSpd 9
^meso_gust9^          MesoNet Gust 9
^meso_barom9^         MesoNet Barom 9
^meso_rrate9^         MesoNet RainRate 9
^meso_stat10^         MesoNet Station 10
^meso_loc10^          MesoNet Location 10
^meso_neigh10^        MesoNet Neighborhood 10
^meso_url10^          MesoNet URL 10
^meso_URLtext10^      MesoNet URL Text 10
^meso_historyURL10^   MesoNet History URL 10
^meso_lon10^          MesoNet Lon 10
^meso_lat10^          MesoNet Lat 10
^meso_time10^         MesoNet Time 10
^meso_temp10^         MesoNet Temp 10
^meso_dew10^          MesoNet DewPt 10
^meso_rh10^           MesoNet Hum 10
^meso_dir10^          MesoNet WindDir 10
^meso_wspeed10^       MesoNet WindSpd 10
^meso_gust10^         MesoNet Gust 10
^meso_barom10^        MesoNet Barom 10
^meso_rrate10^        MesoNet RainRate 10
^meso_stat11^         MesoNet Station 11
^meso_loc11^          MesoNet Location 11
^meso_neigh11^        MesoNet Neighborhood 11
^meso_url11^          MesoNet URL 11
^meso_URLtext11^      MesoNet URL Text 11
^meso_historyURL11^   MesoNet History URL 11
^meso_lon11^          MesoNet Lon 11
^meso_lat11^          MesoNet Lat 11
^meso_time11^         MesoNet Time 11
^meso_temp11^         MesoNet Temp 11
^meso_dew11^          MesoNet DewPt 11
^meso_rh11^           MesoNet Hum 11
^meso_dir11^          MesoNet WindDir 11
^meso_wspeed11^       MesoNet WindSpd 11
^meso_gust11^         MesoNet Gust 11
^meso_barom11^        MesoNet Barom 11
^meso_rrate11^        MesoNet RainRate 11
^meso_stat12^         MesoNet Station 12
^meso_loc12^          MesoNet Location 12
^meso_neigh12^        MesoNet Neighborhood 12
^meso_url12^          MesoNet URL 12
^meso_URLtext12^      MesoNet URL Text 12
^meso_historyURL12^   MesoNet History URL 12
^meso_lon12^          MesoNet Lon 12
^meso_lat12^          MesoNet Lat 12
^meso_time12^         MesoNet Time 12
^meso_temp12^         MesoNet Temp 12
^meso_dew12^          MesoNet DewPt 12
^meso_rh12^           MesoNet Hum 12
^meso_dir12^          MesoNet WindDir 12
^meso_wspeed12^       MesoNet WindSpd 12
^meso_gust12^         MesoNet Gust 12
^meso_barom12^        MesoNet Barom 12
^meso_rrate12^        MesoNet RainRate 12
^meso_stat13^         MesoNet Station 13
